ID,BARRIO,DISTRITO,ESTADO,LATITUD,LONGITUD,COD_POSTAL,FECHA_INSTALACION,coordenadasGPS,capacidadMax,cantidadJuegosPorTipo,estadoGlobalArea
3568711,LA PAZ,FUENCARRAL - EL PARDO,OPERATIVO,40.48188796,-3.70085781,28029,2017-03-08,"[-3.70085781, 40.48188796]",9,"{'deportivas': 0, 'mayores': 0, 'infantiles': 0}",BUENO
3569210,MIRASIERRA,FUENCARRAL - EL PARDO,OPERATIVO,40.49243631,-3.72574853,28049,2017-10-09,"[-3.72574853, 40.49243631]",19,"{'deportivas': 5, 'mayores': 0, 'infantiles': 0}",SUFICIENTE
3573005,VALDEBERNARDO,VICALVARO,OPERATIVO,40.40177615,-3.62495141,28032,2013-10-20,"[-3.62495141, 40.40177615]",19,"{'deportivas': 3, 'mayores': 0, 'infantiles': 0}",BUENO
3573016,VALDEBERNARDO,VICALVARO,OPERATIVO,40.3942659,-3.61816268,28031,2013-10-20,"[-3.61816268, 40.3942659]",19,"{'deportivas': 9, 'mayores': 0, 'infantiles': 0}",BUENO
3573208,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,OPERATIVO,40.36446486,-3.59576667,28051,2013-10-20,"[-3.59576667, 40.36446486]",12,"{'deportivas': 1, 'mayores': 0, 'infantiles': 0}",SUFICIENTE
3573331,SANTA EUGENIA,VILLA DE VALLECAS,OPERATIVO,40.37878646,-3.60252257,28031,2013-10-23,"[-3.60252257, 40.37878646]",6,"{'deportivas': 2, 'mayores': 0, 'infantiles': 0}",BUENO
3573333,CASCO HISTORICO DE VALLECAS,VILLA DE VALLECAS,OPERATIVO,40.37222835,-3.62465361,28031,2013-10-20,"[-3.62465361, 40.37222835]",5,"{'deportivas': 2, 'mayores': 0, 'infantiles': 0}",BUENO
3573466,CASCO HISTORICO DE VALLECAS,VILLA DE VALLECAS,OPERATIVO,40.37442638,-3.63393894,28031,2013-10-20,"[-3.63393894, 40.37442638]",13,"{'deportivas': 3, 'mayores': 0, 'infantiles': 0}",SUFICIENTE
4792795,VALDEBERNARDO,VICALVARO,OPERATIVO,40.39986388,-3.6259501,28032,2017-12-20,"[-3.6259501, 40.39986388]",18,"{'deportivas': 6, 'mayores': 0, 'infantiles': 0}",SUFICIENTE
4792812,CASCO HISTORICO DE VICALVARO,VICALVARO,OPERATIVO,40.40804785,-3.5914992,28032,2017-12-18,"[-3.5914992, 40.40804785]",16,"{'deportivas': 6, 'mayores': 0, 'infantiles': 0}",BUENO
4795141,PALOMERAS SURESTE,PUENTE DE VALLECAS,OPERATIVO,40.38762311,-3.63512279,28038,2017-06-08,"[-3.63512279, 40.38762311]",15,"{'deportivas': 4, 'mayores': 0, 'infantiles': 0}",BUENO
4986445,SAN CRISTOBAL,VILLAVERDE,OPERATIVO,40.34575667,-3.69118256,28021,2018-11-30,"[-3.69118256, 40.34575667]",13,"{'deportivas': 10, 'mayores': 0, 'infantiles': 0}",SUFICIENTE
4988362,PROSPERIDAD,CHAMARTIN,OPERATIVO,40.44120593,-3.66969137,28002,2018-12-20,"[-3.66969137, 40.44120593]",5,"{'deportivas': 4, 'mayores': 0, 'infantiles': 0}",BUENO
3568708,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45313183,-3.78699707,28023,2006-01-25,"[-3.78699707, 40.45313183]",13,"{'deportivas': 16, 'mayores': 2, 'infantiles': 1}",BUENO
3568959,GUINDALERA,SALAMANCA,OPERATIVO,40.44189594,-3.66015134,28028,2017-06-01,"[-3.66015134, 40.44189594]",11,"{'deportivas': 6, 'mayores': 0, 'infantiles': 0}",SUFICIENTE
3569421,CUATRO CAMINOS,TETUAN,OPERATIVO,40.45294029,-3.69820349,28020,2004-01-01,"[-3.69820349, 40.45294029]",13,"{'deportivas': 7, 'mayores': 4, 'infantiles': 17}",SUFICIENTE
