ID,ESTADO,FECHA_INSTALACION,MODELO,tipo_juego,ACCESIBLE,indicadorExposicion,ultimaFechaMantenimiento,desgasteAcumulado,AreaRecreativaID
9536972,OPERATIVO,2024-01-31,Varios Juegos en CDE,deportivas,Desconocido,alto,Ausente,3300,9536964
9536966,OPERATIVO,2024-01-31,Varios Juegos en CDE,deportivas,Desconocido,medio,2024-03-23,500,9536964
9536965,OPERATIVO,2024-01-31,Varios Juegos en CDE,deportivas,Desconocido,bajo,2024-07-06,1300,9536964
9535131,OPERATIVO,2023-09-15,Barras paralelas en CDE,deportivas,False,bajo,2023-10-27,0,9503906
9535128,OPERATIVO,2023-01-09,Multiejercicio en CDE,deportivas,False,bajo,2024-02-05,1200,9503906
9535127,OPERATIVO,2023-09-15,Banco de abdominales en CDE,deportivas,False,bajo,2023-11-20,100,9503906
9494201,OPERATIVO,2024-03-19,Varios Juegos en CDE,deportivas,Desconocido,bajo,2024-05-26,1000,9494172
9493030,OPERATIVO,2024-07-03,Banco de abdominales en CDE,deportivas,False,alto,2024-09-25,2300,9492997
9493021,OPERATIVO,2024-03-07,Varios Juegos en CDE,deportivas,False,alto,Ausente,2100,9492997
9492867,OPERATIVO,2024-04-04,Varios Juegos en CDE,deportivas,False,bajo,Ausente,1500,5175231
9492624,OPERATIVO,2024-02-14,Banco de abdominales en CDE,deportivas,True,medio,2024-01-15,1400,9403205
9438562,OPERATIVO,2024-03-26,Barra defFlexiones en CDE,deportivas,False,alto,Ausente,300,9438374
9438560,OPERATIVO,2024-03-26,Varios Juegos en CDE,deportivas,False,alto,Ausente,900,9438374
9438380,OPERATIVO,2024-03-26,Varios Juegos en CDE,deportivas,False,alto,Ausente,2700,9438374
9438367,OPERATIVO,2024-03-26,Varios Juegos en CDE,deportivas,False,medio,Ausente,2200,9438309
9438316,OPERATIVO,2024-03-26,Varios Juegos en CDE,deportivas,False,medio,Ausente,2000,9438309
9407936,OPERATIVO,2023-08-01,Varios Juegos en CDE,deportivas,True,medio,Ausente,800,17567
9407914,OPERATIVO,2023-08-01,Varios Juegos en CDE,deportivas,True,medio,2024-10-05,0,17567
9407910,OPERATIVO,2023-08-01,Varios Juegos en CDE,deportivas,True,medio,Ausente,1800,17567
9407821,OPERATIVO,2017-12-22,Varios Juegos en CDE,deportivas,False,alto,2024-02-07,4400,4730869
9407759,OPERATIVO,2023-01-08,Varios Juegos en CDE,deportivas,False,medio,2024-04-24,500,17493
9407627,OPERATIVO,2023-08-01,Varios Juegos en CDE,deportivas,False,medio,2024-05-19,1400,4730869
9398114,OPERATIVO,2004-12-17,Escalera Horizontal en CDE,deportivas,True,alto,Ausente,900,17359
9397138,OPERATIVO,2023-11-28,Varios Juegos en CDE,deportivas,False,medio,2024-05-29,900,9397076
9397137,OPERATIVO,2023-11-28,Varios Juegos en CDE,deportivas,False,medio,2024-01-17,2900,9397076
9397134,OPERATIVO,2023-11-28,Varios Juegos en CDE,deportivas,False,alto,Ausente,2400,9397076
9397131,OPERATIVO,2023-11-28,Varios Juegos en CDE,deportivas,False,alto,2024-04-12,2600,9397076
9397078,OPERATIVO,2023-11-28,Varios Juegos en CDE,deportivas,False,bajo,2024-09-29,400,9397076
9397071,OPERATIVO,2023-11-28,Varios Juegos en CDE,deportivas,True,medio,2024-04-06,100,9397047
9397070,OPERATIVO,2023-11-28,Varios Juegos en CDE,deportivas,True,alto,2024-08-27,3200,9397047
9396700,OPERATIVO,2023-09-15,Varios Juegos en CDE,deportivas,True,alto,2024-05-17,2100,9396658
9396660,OPERATIVO,2023-09-15,Varios Juegos en CDE,deportivas,True,medio,2024-08-03,2200,9396658
9393810,OPERATIVO,2023-03-11,Varios Juegos en CDE,deportivas,False,alto,2024-05-28,3800,18602
9392926,OPERATIVO,2023-03-11,Varios Juegos en CDE,deportivas,False,alto,2024-09-14,2200,18602
9392924,OPERATIVO,2023-11-03,Varios Juegos en CDE,deportivas,False,alto,2023-10-18,1700,18602
9392921,OPERATIVO,2023-11-03,Varios Juegos en CDE,deportivas,False,bajo,2024-09-01,0,18602
9392500,OPERATIVO,2023-12-18,Barras paralelas en CDE,deportivas,True,alto,Ausente,4500,9391954
9392487,OPERATIVO,2023-12-18,Banco de abdominales en CDE,deportivas,True,alto,2024-02-29,4400,9391954
9392199,OPERATIVO,2023-12-18,Barra de estiramientos en CDE,deportivas,True,alto,2023-12-31,2600,9391954
9389731,OPERATIVO,2023-08-09,Varios Juegos en CDE,deportivas,True,bajo,2024-06-09,100,18505
9389678,OPERATIVO,2023-09-08,Varios Juegos en CDE,deportivas,False,alto,2024-08-01,1700,9348753
9389675,OPERATIVO,2023-08-09,Varios Juegos en CDE,deportivas,False,alto,Ausente,900,9348753
9389622,OPERATIVO,2023-09-08,Varios Juegos en CDE,deportivas,False,bajo,2024-06-27,200,9348753
9383249,OPERATIVO,2022-11-28,Barras paralelas en CDE,deportivas,False,medio,2023-08-11,2500,9348753
9295465,OPERATIVO,2023-06-23,Barras paralelas en CDE,deportivas,False,bajo,2024-07-25,-100,9295425
9295454,OPERATIVO,2023-06-23,Banco de abdominales en CDE,deportivas,False,bajo,2024-02-04,1100,9295425
9295451,OPERATIVO,2023-06-23,Multiejercicio en CDE,deportivas,False,bajo,2024-01-27,600,9295425
9295430,OPERATIVO,2023-06-23,Barras paralelas en CDE,deportivas,False,bajo,2024-06-26,1000,9295425
9295385,OPERATIVO,2023-07-03,Varios Juegos en CDE,deportivas,False,alto,Ausente,2100,17850
9295378,OPERATIVO,2023-07-03,Varios Juegos en CDE,deportivas,False,alto,2023-12-17,1400,17850
9295340,OPERATIVO,2023-07-03,Varios Juegos en CDE,deportivas,False,bajo,Ausente,600,17846
9295061,OPERATIVO,2023-07-26,Varios Juegos en CDE,deportivas,True,alto,Ausente,300,16915
9536975,OPERATIVO,2024-01-31,Varios Juegos en CDE,deportivas,Desconocido,alto,2024-09-25,2200,9536964
9536969,OPERATIVO,2024-01-31,Varios Juegos en CDE,deportivas,Desconocido,medio,Ausente,3000,9536964
9497654,OPERATIVO,2024-04-04,Varios Juegos en CDE,deportivas,False,alto,2024-10-09,1000,5178801
9494208,OPERATIVO,2024-03-19,Varios Juegos en CDE,deportivas,Desconocido,bajo,2023-12-21,1300,9494172
9494204,OPERATIVO,2024-03-19,Barra defFlexiones en CDE,deportivas,Desconocido,alto,Ausente,1200,9494172
9494202,OPERATIVO,2024-03-19,Varios Juegos en CDE,deportivas,Desconocido,medio,Ausente,1200,9494172
9493044,OPERATIVO,2024-07-03,Varios Juegos en CDE,deportivas,False,medio,Ausente,1400,9492997
9493027,OPERATIVO,2024-03-07,Varios Juegos en CDE,deportivas,False,bajo,Ausente,700,9492997
