ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID
MNT-00001,2024-08-05,Correctivo,Malo,Malo,9394146
MNT-00002,2024-03-30,Correctivo,Regular,Regular,9224036
MNT-00003,2024-09-17,Emergencia,Bueno,Bueno,3849642
MNT-00004,2023-11-01,Emergencia,Regular,Bueno,59177
MNT-00005,2024-02-04,Emergencia,Bueno,Malo,21957
MNT-00006,2024-03-06,Preventivo,Regular,Regular,34208
MNT-00007,2023-10-22,Preventivo,Bueno,Regular,8803674
MNT-00008,2024-01-29,Correctivo,Bueno,Regular,3576475
MNT-00009,2024-07-01,Correctivo,Malo,Regular,5158890
MNT-00010,2024-02-20,Emergencia,Regular,Bueno,4988207
MNT-00011,2024-04-09,Correctivo,Regular,Bueno,9223682
MNT-00012,2024-08-02,Preventivo,Bueno,Bueno,35036
MNT-00013,2024-02-17,Emergencia,Malo,Regular,58764
MNT-00014,2024-05-25,Emergencia,Malo,Regular,7822978
MNT-00015,2023-10-18,Emergencia,Bueno,Regular,7126930
MNT-00016,2024-09-26,Correctivo,Malo,Bueno,58422
MNT-00017,2023-11-12,Preventivo,Regular,Regular,4731663
MNT-00018,2024-02-08,Correctivo,Malo,Bueno,20559
MNT-00019,2024-06-08,Preventivo,Regular,Malo,21238
MNT-00020,2023-12-18,Preventivo,Regular,Regular,19725
MNT-00021,2023-12-25,Emergencia,Regular,Regular,4749929
MNT-00022,2024-04-02,Emergencia,Bueno,Regular,25582
MNT-00023,2024-06-16,Preventivo,Regular,Malo,18826
MNT-00024,2024-06-13,Correctivo,Bueno,Regular,20237
MNT-00025,2024-07-12,Correctivo,Regular,Malo,3997060
MNT-00026,2024-05-20,Emergencia,Malo,Malo,5241083
MNT-00027,2024-08-19,Preventivo,Bueno,Bueno,9497226
MNT-00028,2024-01-03,Correctivo,Regular,Bueno,9271148
MNT-00029,2024-05-08,Preventivo,Malo,Bueno,33591
MNT-00030,2024-01-02,Correctivo,Bueno,Malo,33491
MNT-00031,2023-10-21,Correctivo,Regular,Bueno,8888577
MNT-00032,2024-09-10,Correctivo,Malo,Regular,18703
MNT-00033,2024-05-28,Emergencia,Malo,Regular,8928074
MNT-00034,2024-02-03,Correctivo,Malo,Bueno,21749
MNT-00035,2024-06-23,Correctivo,Bueno,Bueno,4737873
MNT-00036,2024-09-07,Correctivo,Regular,Bueno,35182
MNT-00037,2024-02-08,Correctivo,Malo,Malo,8820183
MNT-00038,2024-03-16,Preventivo,Regular,Malo,19562
MNT-00039,2024-05-16,Correctivo,Regular,Malo,32653
MNT-00040,2023-10-29,Preventivo,Malo,Bueno,34142
MNT-00041,2024-05-19,Emergencia,Regular,Bueno,3963370
MNT-00042,2024-05-09,Correctivo,Regular,Bueno,21442
MNT-00043,2024-07-08,Correctivo,Regular,Bueno,6878949
MNT-00044,2024-09-05,Preventivo,Regular,Bueno,59202
MNT-00045,2024-05-20,Preventivo,Malo,Regular,7924749
MNT-00046,2023-11-28,Emergencia,Bueno,Bueno,9289730
MNT-00047,2024-09-04,Emergencia,Regular,Bueno,19866
MNT-00048,2024-06-23,Correctivo,Bueno,Regular,9052567
MNT-00049,2024-01-31,Correctivo,Regular,Malo,3530673
MNT-00050,2024-04-28,Preventivo,Bueno,Malo,59740
MNT-00051,2024-01-13,Correctivo,Bueno,Regular,5241064
